Asset ID,Install Date,WO Date,Work Order #,Material Cost,Material Charge,PO#,Model Number,Model Number MFG,Asset MFG Date,In Service?,Manufacturer Name
119268,11/21/2016,3/7/2018,12395,6.47,6.47,,PRIME BIG WHEEL,1115,10/1/2013,TRUE,Stryker
EE45623,10/22/2015,3/7/2018,12394,295.95,295.95,,VERSACARE,P3200J,10/30/2014,TRUE,Hill-Rom
113057,11/30/2016,3/21/2018,12437,62.56,62.56,,GLIDEAWAY,1115,,TRUE,Stryker
125445,10/20/2016,4/26/2018,12640,2.13,2.13,,GYNNIE,1061,10/1/2007,TRUE,Stryker
041211,11/1/2016,4/30/2018,12704,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
041211,11/1/2016,4/30/2018,12706,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
EE151709,6/29/2017,6/26/2018,13194,266.7,266.7,,PROGRESSA,P7500,9/12/2015,TRUE,Hill-Rom
EE151727,12/20/2016,6/29/2018,13200,15.25,15.25,,PROGRESSA,P7500,9/22/2015,TRUE,Hill-Rom
00166B,11/14/2016,7/5/2018,13279,84.62,84.62,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
00166B,11/14/2016,7/18/2018,13307,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
111211,6/20/2018,7/18/2018,13306,101.54,101.54,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
125453,11/30/2016,7/18/2018,13305,169.24,169.24,,GYNNIE,1061,10/1/2007,TRUE,Stryker
125478,11/17/2016,7/23/2018,13316,2.36,2.36,,GYNNIE,1061,,TRUE,Stryker
125478,11/17/2016,7/23/2018,13316,4.26,4.26,,GYNNIE,1061,,TRUE,Stryker
125478,11/17/2016,7/23/2018,13316,8.49,8.49,,GYNNIE,1061,,TRUE,Stryker
125478,11/17/2016,7/23/2018,13316,53.88,53.88,,GYNNIE,1061,,TRUE,Stryker
125478,11/17/2016,7/23/2018,13316,63.76,63.76,,GYNNIE,1061,,TRUE,Stryker
125478,11/17/2016,7/23/2018,13316,204.52,204.52,,GYNNIE,1061,,TRUE,Stryker
125469,11/4/2016,7/26/2018,13338,84.62,84.62,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
041124,11/1/2016,7/26/2018,13339,84.62,84.62,,Renaissance,1711,12/1/1998,TRUE,Stryker
125410,11/28/2016,7/26/2018,13337,169.24,169.24,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
041220,11/17/2016,8/1/2018,13392,84.62,84.62,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125440,11/3/2016,8/3/2018,13417,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125439,11/28/2016,8/8/2018,13428,169.24,169.24,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
EE123236,11/5/2014,8/17/2018,13476,926.9,926.9,,SECURE S3,3005S3,11/1/2012,TRUE,Stryker
125441,11/18/2016,9/18/2018,13748,44.89,44.89,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125444,11/17/2016,9/25/2018,13762,89.78,89.78,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
00124B,11/9/2016,9/28/2018,13775,179.56,179.56,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
015010,11/28/2016,9/28/2018,13776,179.56,179.56,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125525,11/1/2016,10/10/2018,13930,730.39,730.39,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
111212,4/26/2018,10/18/2018,13954,30.19,30.19,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
125437,11/15/2016,11/1/2018,14298,179.56,179.56,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
EE45650,10/23/2015,11/13/2018,14432,295.95,295.95,,VERSACARE,P3200K000500,,TRUE,Hill-Rom
125510,11/3/2016,11/26/2018,14474,495.56,495.56,,RENAISSANCE,1231,11/1/2003,TRUE,Stryker
EE45810,10/23/2015,12/1/2018,14560,132.15,132.15,,PROGRESSA,P7500,9/30/2014,TRUE,Hill-Rom
EE112087,11/5/2014,12/7/2018,14589,12.77,12.77,,TRI-FLEX II,TRI-FLEX II,,TRUE,Hill-Rom
111216,8/24/2018,12/10/2018,14593,275,275,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
130539,8/24/2018,12/10/2018,14592,443.59,352.27,,PROGRESSA,P7500A000131,9/21/2017,TRUE,Hill-Rom
EE151718,12/13/2018,12/13/2018,14608,71.29,71.29,,PROGRESSA,P7500,9/14/2015,TRUE,Hill-Rom
00166B,11/14/2016,12/17/2018,14613,44.89,44.89,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
041124,11/1/2016,12/17/2018,14614,44.89,44.89,,Renaissance,1711,12/1/1998,TRUE,Stryker
041133,11/30/2016,12/18/2018,14617,44.89,44.89,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
119277,11/21/2016,12/27/2018,14642,88.44,88.44,,PRIME BIG WHEEL,1115,10/1/2013,TRUE,Stryker
040874,11/16/2016,1/3/2019,14746,3.19,3.19,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
EE45814,10/22/2015,1/31/2019,14905,132.15,132.15,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45814,10/22/2015,1/31/2019,14905,1280.34,1280.34,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
111207,1/22/2018,2/26/2019,15063,885.83,885.83,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
125519,11/16/2016,3/13/2019,15224,91.1,91.1,,M-SERIES,1015,6/1/2009,TRUE,Stryker
076882,11/15/2016,3/18/2019,15240,182.2,182.2,,GYNNIE,1061,,TRUE,Stryker
111207,1/22/2018,3/20/2019,15245,30.19,30.19,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
125453,11/30/2016,4/9/2019,15357,147.82,147.82,,GYNNIE,1061,10/1/2007,TRUE,Stryker
EE124796,11/5/2014,4/10/2019,15362,478.3,478.3,,SECURE S3,3005S3,7/1/2012,TRUE,Stryker
EE45813,10/22/2015,4/11/2019,15365,90,90,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45807,10/23/2015,4/17/2019,15384,322.52,322.52,,PROGRESSA,P7500A000131,9/26/2014,TRUE,Hill-Rom
EE45815,10/22/2015,4/30/2019,15496,181.39,181.39,,PROGRESSA,P7500A0001315,,TRUE,Hill-Rom
EE151701,3/27/2018,5/16/2019,15690,266.7,266.7,,PROGRESSA,P7500,9/9/2015,TRUE,Hill-Rom
EE123645,6/14/2019,6/14/2019,VACL-16053,199.3,199.3,,ZOOM,1125,11/1/2013,TRUE,Stryker
EE123664,6/14/2019,6/17/2019,VACL-16061,199.3,199.3,,ZOOM,1125,11/1/2013,TRUE,Stryker
EE123645,6/14/2019,6/26/2019,VACL-16093,564.34,564.34,,ZOOM,1125,11/1/2013,TRUE,Stryker
125413,11/30/2016,7/1/2019,16184,80.74,80.74,,M-SERIES,1015,6/1/2009,TRUE,Stryker
MX210945,5/14/2019,7/16/2019,16352,46.65,46.65,,SPIRIT SELECT,5700,,TRUE,Stryker
MX210945,5/14/2019,7/16/2019,16352,309.87,309.87,,SPIRIT SELECT,5700,,TRUE,Stryker
MX210945,5/14/2019,7/16/2019,16352,456.16,456.16,,SPIRIT SELECT,5700,,TRUE,Stryker
MX1645492,5/14/2019,7/16/2019,16350,517.75,517.75,,VERSACARE,P3200K000122,9/21/2017,TRUE,Hill-Rom
125445,10/20/2016,7/17/2019,16366,729.63,729.63,,GYNNIE,1061,10/1/2007,TRUE,Stryker
EE169763,7/18/2019,7/18/2019,16374,6,6,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
EE169389,7/18/2019,7/18/2019,16376,6,6,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
EE169382,7/18/2019,7/18/2019,16373,51.14,51.14,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
EE169772,7/19/2019,7/19/2019,16382,500,500,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
EE169771,7/24/2019,7/24/2019,16393,260,260,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
MX210942,5/14/2019,8/1/2019,16474,21.46,21.46,,SPIRIT SELECT,5700,,TRUE,Stryker
MX1929428,8/5/2019,8/6/2019,16524,487.5,487.5,,VERSACARE,P3200K000122,9/21/2017,TRUE,Hill-Rom
EE170510,7/25/2019,8/16/2019,16571,260,260,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
MX1815517,5/13/2019,9/9/2019,16806,177.48,177.48,,VERSACARE,P3200K000122,4/4/2018,TRUE,Hill-Rom
111207,1/22/2018,9/19/2019,16907,22.56,22.56,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
111212,4/26/2018,9/19/2019,16906,584.49,584.49,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
064826,8/24/2018,9/23/2019,16917,13.8,13.8,,TOTALCARE,P1830ACAP,,TRUE,Hill-Rom
EE114358,7/9/2019,9/27/2019,16934,199.3,199.3,,ZOOM,1125,4/1/2012,TRUE,Stryker
EE107276,5/13/2019,10/7/2019,17244,295.95,295.95,,VERSACARE,P3200J000293,2/3/2011,TRUE,Hill-Rom
EE123645,6/14/2019,10/8/2019,17247,199.3,199.3,,ZOOM,1125,11/1/2013,TRUE,Stryker
EE123663,5/14/2019,10/17/2019,17261,100.41,100.41,,PRIME ZOOM,1125,11/1/2013,TRUE,Stryker
101719,4/26/2018,10/23/2019,17279,157.88,157.88,,TOTALCARE,P1840BCA000003,,TRUE,Hill-Rom
EE123645,6/14/2019,10/23/2019,17278,564.34,564.34,,ZOOM,1125,11/1/2013,TRUE,Stryker
111207,1/22/2018,10/25/2019,17305,30.19,30.19,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
111211,6/20/2018,10/25/2019,17306,30.19,30.19,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
076843,1/22/2018,10/25/2019,17308,89,89,,TOTALCARE,P1900L006247,,TRUE,Hill-Rom
076843,1/22/2018,10/25/2019,17308,584.49,584.49,,TOTALCARE,P1900L006247,,TRUE,Hill-Rom
119275,11/21/2016,10/29/2019,17318,2.1,2.1,,PRIME BIG WHEEL,1115,10/1/2013,TRUE,Stryker
119275,11/21/2016,10/29/2019,17318,3.19,3.19,,PRIME BIG WHEEL,1115,10/1/2013,TRUE,Stryker
119276,11/28/2016,10/29/2019,17317,91.1,91.1,,PRIME BIG WHEEL,1115,10/1/2013,TRUE,Stryker
091345,11/15/2016,10/31/2019,17863,44.89,44.89,,GYNNIE,1061,,TRUE,Stryker
125444,11/17/2016,10/31/2019,17909,44.89,44.89,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
138350,10/25/2019,11/15/2019,18262,573.96,573.96,,TMM4,TMM4,,TRUE,TRANSMOTION
138350,10/25/2019,11/15/2019,18262,612.99,612.99,,TMM4,TMM4,,TRUE,TRANSMOTION
138348,10/25/2019,11/15/2019,18263,612.99,612.99,,TMM4,TMM4,,TRUE,TRANSMOTION
111216,8/24/2018,12/3/2019,18477,584.49,584.49,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
125505,10/18/2016,12/4/2019,18485,91.1,91.1,,M-SERIES,1015,,TRUE,Stryker
125433,11/16/2016,12/4/2019,18484,752.31,752.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
EE45808,10/23/2015,12/8/2019,18656,322.52,322.52,,PROGRESSA,P7500a000131,9/26/2014,TRUE,Hill-Rom
111729,10/25/2019,12/9/2019,18702,6.05,6.05,,FIFTH WHEEL,1105,7/1/2011,TRUE,American Medical Sales Inc
85291,10/23/2019,12/9/2019,18703,35.78,35.78,,M-SERIES,1015,10/1/2007,TRUE,Stryker
111212,4/26/2018,12/16/2019,18898,89,89,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
111212,4/26/2018,12/16/2019,18898,201.03,201.03,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
111212,4/26/2018,12/16/2019,18898,885.83,885.83,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
123249,12/18/2019,12/18/2019,18924,113.19,113.19,,PEDIGO,2500-W-SPEC,,TRUE,
106347,11/16/2016,12/26/2019,18981,1059.6,1059.6,,CUB,FL19H,,TRUE,Stryker
111207,1/22/2018,12/30/2019,19039,89,0,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
111211,6/20/2018,12/31/2019,19083,201.03,201.03,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
091343,11/30/2016,1/3/2020,19144,44.89,44.89,,GYNNIE,1061,,TRUE,Stryker
131401,10/30/2019,1/3/2020,19146,2442.5,2442.5,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
076883,11/15/2016,1/8/2020,19193,4.29,4.29,,GYNNIE,1061,,TRUE,Stryker
076883,11/15/2016,1/8/2020,19193,27.94,27.94,,GYNNIE,1061,,TRUE,Stryker
131406,1/10/2020,1/10/2020,19216,13.8,13.8,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
131406,1/10/2020,1/10/2020,19216,141.66,141.66,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
111216,8/24/2018,1/14/2020,19232,201.03,201.03,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
111208,7/2/2018,1/14/2020,19233,201.03,201.03,,TOTALCARE,P1900P006976,,TRUE,Hill-Rom
130534,8/24/2018,1/14/2020,19234,351.14,351.14,,PROGRESSA,P7500A000131,9/21/2017,TRUE,Hill-Rom
131426,1/16/2020,1/17/2020,19275,320.69,320.69,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
131437,10/24/2019,1/17/2020,19279,320.69,320.69,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
EE45818,10/22/2015,1/22/2020,19295,2.42,2.42,,PROGRESSA,P7500A000131,10/1/2014,TRUE,Hill-Rom
EE45818,10/22/2015,1/22/2020,19295,21.49,21.49,,PROGRESSA,P7500A000131,10/1/2014,TRUE,Hill-Rom
EE45818,10/22/2015,1/22/2020,19295,46.21,46.21,,PROGRESSA,P7500A000131,10/1/2014,TRUE,Hill-Rom
EE45623,10/22/2015,1/22/2020,19293,217.13,217.13,,VERSACARE,P3200J,10/30/2014,TRUE,Hill-Rom
EE45818,10/22/2015,1/22/2020,19295,322.52,322.52,,PROGRESSA,P7500A000131,10/1/2014,TRUE,Hill-Rom
124442,10/30/2019,2/3/2020,19469,52.32,52.32,,ADVANTA 2,P1190,,TRUE,Hill-Rom
124442,10/30/2019,2/3/2020,19469,102.21,102.21,,ADVANTA 2,P1190,,TRUE,Hill-Rom
130993,10/22/2019,2/7/2020,19515,6.9,6.9,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
130993,10/22/2019,2/7/2020,19515,13.8,13.8,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
130993,10/22/2019,2/7/2020,19515,27.59,27.59,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
131415,10/23/2019,2/7/2020,19514,91.49,91.49,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
131415,10/23/2019,2/7/2020,19514,119.7,119.7,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
131415,10/23/2019,2/7/2020,19514,320.69,320.69,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
MX1649229,5/14/2019,2/10/2020,19531,295.95,295.95,,VERSACARE,P3200,9/21/2017,TRUE,Hill-Rom
EE45811,10/22/2015,2/12/2020,19551,727,727,,PROGRESSA,P7500A000131,9/30/2014,TRUE,Hill-Rom
EE107291,5/14/2019,2/13/2020,19552,70.19,70.19,,VERSACARE,P3200J000293,1/31/2011,TRUE,Hill-Rom
130955,10/22/2019,2/13/2020,19556,320.69,320.69,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
107123,10/25/2019,2/19/2020,19577,379.69,379.69,,TRANSTAR,P8000,,TRUE,Hill-Rom
106346,11/16/2016,2/25/2020,19593,529.8,529.8,,CUB,FL19H,,TRUE,Stryker
EE170585,7/25/2019,2/27/2020,19607,234.99,234.99,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
125502,11/16/2016,3/5/2020,19869,774.88,774.88,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
041211,11/1/2016,3/5/2020,19870,774.88,774.88,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
136895,1/29/2019,3/6/2020,19874,20.96,20.96,,CENTRELLA,P7900B000010,,TRUE,Hill-Rom
136895,1/29/2019,3/6/2020,19874,47.6,47.6,,CENTRELLA,P7900B000010,,TRUE,Hill-Rom
136825,1/23/2019,3/6/2020,19873,299.3,299.3,,CENTRELLA,P7900B000010,10/30/2018,TRUE,Hill-Rom
EE170491,7/25/2019,3/11/2020,19885,234.99,234.99,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
MX1815517,5/13/2019,3/12/2020,19891,20.96,20.96,,VERSACARE,P3200K000122,4/4/2018,TRUE,Hill-Rom
EE151712,10/19/2017,3/16/2020,19906,428.45,428.45,,PROGRESSA,P7500,9/12/2015,TRUE,Hill-Rom
076883,11/15/2016,3/20/2020,19965,3.61,3.61,,GYNNIE,1061,,TRUE,Stryker
EE170395,7/24/2019,3/20/2020,19954,7.22,7.22,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
133275,10/28/2019,3/26/2020,19971,1111.18,1111.18,,PRIME BIG WHEEL,1115,4/1/2015,TRUE,Stryker
MX1928275,8/12/2019,4/8/2020,19998,12,12,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928275,8/12/2019,4/8/2020,19998,242.33,242.33,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
78536,10/25/2019,4/9/2020,20001,555.59,555.59,,M-SERIES,1015,,TRUE,Stryker
EE114357,7/9/2019,4/14/2020,20010,9.91,9.91,,ZOOM,1125,4/1/2012,TRUE,Stryker
EE35801,10/22/2015,4/14/2020,20015,18.03,18.15,,VERSACARE,P3200J,,TRUE,Hill-Rom
EE107284,4/14/2020,4/14/2020,20013,18.91,18.91,,VERSACARE,P3200,1/18/2011,TRUE,Hill-Rom
EE35801,10/22/2015,4/14/2020,20015,34.04,34.04,,VERSACARE,P3200J,,TRUE,Hill-Rom
130532,8/24/2018,4/14/2020,20014,50.23,50.23,,PROGRESSA,P7500A000131,9/21/2017,TRUE,Hill-Rom
EE107284,4/14/2020,4/14/2020,20013,255.94,255.39,,VERSACARE,P3200,1/18/2011,TRUE,Hill-Rom
131313,2/27/2020,4/15/2020,20023,91.49,91.49,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
EE87100,4/22/2020,4/22/2020,20032,168,168,,VERSACARE,P3200G000332,9/22/2008,TRUE,Hill-Rom
EE45817,10/22/2015,4/24/2020,20040,10.82,10.82,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45817,10/22/2015,4/24/2020,20040,11.22,11.22,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45817,10/22/2015,4/24/2020,20040,12.61,12.61,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45817,10/22/2015,4/24/2020,20040,22.61,22.61,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45817,10/22/2015,4/24/2020,20040,34.68,34.68,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45817,10/22/2015,4/24/2020,20040,65.02,65.02,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
117250,1/10/2017,4/24/2020,20039,474.35,474.35,,Power Pro XT,6506,1/1/2000,TRUE,Stryker
130955,10/22/2019,5/1/2020,20072,91.49,91.49,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
MX1649230,5/14/2019,5/15/2020,20208,293.54,293.54,,VERSACARE,P3200K000122,9/21/2017,TRUE,Hill-Rom
091343,11/30/2016,5/18/2020,20211,48.11,48.11,,GYNNIE,1061,,TRUE,Stryker
EE123685,7/9/2019,5/20/2020,20220,136.8,136.8,,ZOOM,1125,11/1/2013,TRUE,Stryker
MX1928266,9/11/2019,5/20/2020,20222,159.67,159.67,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
EE123685,7/9/2019,5/20/2020,20220,199.3,199.3,,ZOOM,1125,11/1/2013,TRUE,Stryker
MX1928275,8/12/2019,5/20/2020,20221,295,295,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
EE170495,7/25/2019,6/1/2020,20507,302.33,0,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
EE48450,4/10/2017,6/1/2020,20512,586.44,586.44,,PROGRESSA,P7500A000131,10/8/2015,TRUE,Hill-Rom
EE48450,4/10/2017,6/1/2020,20512,678.1,678.1,,PROGRESSA,P7500A000131,10/8/2015,TRUE,Hill-Rom
130979,10/22/2019,6/3/2020,20513,91.49,91.49,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
MX1928282,6/4/2020,6/4/2020,20516,54.26,54.26,,PROGRESSA,P7500A000554,10/4/2018,TRUE,Hill-Rom
MX1928259,11/12/2019,6/4/2020,20517,1017.17,1017.17,,PROGRESSA,P7500A000554,,TRUE,Hill-Rom
EE123651,7/8/2019,6/5/2020,20524,1.23,1.23,,ZOOM,1125,11/1/2013,TRUE,Stryker
MX1716343,9/18/2019,6/5/2020,20523,95.08,95.08,,PROGRESSA,P7500A000936,9/2/2016,TRUE,Hill-Rom
MX159306,6/5/2020,6/5/2020,20522,136.8,136.8,,,,5/1/2015,TRUE,Stryker
MX1928280,10/22/2019,6/5/2020,20526,1017.17,1017.17,,PROGRESSA,P7500A000554,10/30/2018,TRUE,Hill-Rom
MX1928280,10/22/2019,6/5/2020,20526,1063.62,1063.62,,PROGRESSA,P7500A000554,10/30/2018,TRUE,Hill-Rom
EE45807,10/23/2015,6/6/2020,20529,90,90,,PROGRESSA,P7500A000131,9/26/2014,TRUE,Hill-Rom
MX1928276,7/30/2019,6/9/2020,20531,54.26,54.26,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
EE170603,7/25/2019,6/9/2020,20570,302.33,302.33,,EVOLUTION,EVOLUTION,1/1/2012,TRUE,SIZEWISE
EE98474,6/16/2020,6/16/2020,20603,512.87,512.87,,M-Series,1025,,TRUE,Stryker
130984,10/22/2019,6/18/2020,20610,110.17,110.17,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
EE170580,3/23/2018,6/18/2020,20615,302.33,302.33,,EVOLUTION,EVOLUTION,,TRUE,SIZEWISE
040874,11/16/2016,6/23/2020,20621,782.63,782.63,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
MX1928274,9/13/2019,6/24/2020,20633,0.44,0.44,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928274,9/13/2019,6/24/2020,20633,2.42,2.42,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928274,9/13/2019,6/24/2020,20633,3.2,3.2,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928274,9/13/2019,6/24/2020,20633,3.56,3.56,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928274,9/13/2019,6/24/2020,20633,5.88,5.88,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928274,9/13/2019,6/24/2020,20633,10.32,10.32,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928274,9/13/2019,6/24/2020,20633,48.5,48.5,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928274,9/13/2019,6/24/2020,20633,322.52,322.52,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
119271,11/21/2016,6/26/2020,20654,14.49,14.49,,PRIME BIG WHEEL,1115,,TRUE,Stryker
EE45817,10/22/2015,6/26/2020,20655,96.6,96.6,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
EE45813,10/22/2015,6/26/2020,20660,98.6,98.6,,PROGRESSA,P7500A000131,,TRUE,Hill-Rom
119271,11/21/2016,6/26/2020,20654,650.55,650.55,,PRIME BIG WHEEL,1115,,TRUE,Stryker
MX1928266,9/11/2019,6/30/2020,20779,54.26,54.26,,PROGRESSA,P7500A000554,10/5/2018,TRUE,Hill-Rom
MX1928280,10/22/2019,7/1/2020,20783,185.36,185.26,,PROGRESSA,P7500A000554,10/30/2018,TRUE,Hill-Rom
MX1928280,10/22/2019,7/1/2020,20783,345.74,345.74,,PROGRESSA,P7500A000554,10/30/2018,TRUE,Hill-Rom
MX1928280,10/22/2019,7/1/2020,20783,1346.8,1346.8,,PROGRESSA,P7500A000554,10/30/2018,TRUE,Hill-Rom
EE48450,4/10/2017,7/7/2020,20797,428.45,428.45,,PROGRESSA,P7500A000131,10/8/2015,TRUE,Hill-Rom
136871,1/28/2019,7/9/2020,20801,5.07,5.07,,CENTRELLA,P7900B000010,,TRUE,Hill-Rom
136871,1/28/2019,7/9/2020,20801,5.33,5.33,,CENTRELLA,P7900B000010,,TRUE,Hill-Rom
131405,3/18/2020,7/13/2020,20803,27.6,27.6,,ENTERPRISE,9800,10/1/2014,TRUE,Arjo Inc
